"R_Chengdu","R_Beijing","R_Shanghai","R_Guangzhou","R_Shenzhen","R_Tianjin","R_Chongqing"
60.7767645967487,36.2028992595446,40.3647859627843,32.8866775054741,29.8150476766993,55.8749835047338,51.2797686446327
48.6397122739256,36.7256375643211,30.6819878053729,24.01582598782,21.0536483861057,48.3405502232623,40.7331678295168
36.5363942525141,35.1635009627915,28.4028810362216,23.8689023615092,20.8641297646272,43.4419494836237,30.4312747781912
27.3975531158455,30.2787567773376,25.2954985172075,21.116298840247,18.5112058204432,32.9139482893619,23.6243018298544
27.2624665495384,29.2844222463254,22.3693969346581,14.4970328202463,11.5425349753559,28.9141573155609,21.2312756192774
20.6527982632875,28.9236557346901,18.1570123132571,10.0730213776115,7.27586385730724,27.9475248946146,16.5677003520043
16.9358797881885,28.724898295045,15.209678447275,10.3558442362823,7.21153896723829,25.9260568317827,13.634757331273
18.6768008808684,27.4047743160457,12.1141560283439,13.6535129978008,10.8093913565887,23.097793108611,15.501618662654
18.9083774413229,26.831823587137,13.0041324005582,17.9129585598498,15.4115391181812,22.6826264076232,17.7198692989585
24.1276426619551,31.0845024664872,17.9367516990655,26.4933182798396,23.1892503440277,36.4306944154115,21.9332404609686
39.6720690034604,35.1325232217551,27.0099052664696,24.8636373470185,23.235497029105,42.827188602105,30.6825072435595
54.1364712153233,35.4375701275075,37.8146629800699,28.585400121078,28.5875528799652,46.8395040352236,43.6064540837108
58.3183538576597,35.9610471368953,37.6163181303764,32.1460002327848,29.1374609714643,49.2727266138216,49.9731753517738
46.5238190321973,36.0936221318102,28.1778700635228,23.1837431463843,20.1973717696033,46.3437260016163,39.414163235299
34.5951026790586,35.0899907212968,26.1067386318615,22.8737459068589,19.9638308796075,45.7937893574637,29.2485670938227
26.4633714271497,30.5990900201525,23.0274336217937,20.1984870234523,17.5903727514893,31.3792659997373,22.388034433196
26.053067587598,29.6002219893051,20.2857791143972,13.5001415258764,10.6217513797036,26.8948947373179,20.0736705632648
19.0249214860059,29.4191331295321,16.1975447233122,8.92764272115024,6.28993110909753,25.0149740014394,15.3588432454642
15.5495111459797,29.0790063540859,13.2840766748475,9.17768741774439,6.22748828496982,21.8621966901414,12.4784804646613
17.3030032730394,27.9383723352314,10.4331033353108,12.6440296353138,9.87531240866909,20.2218979327468,14.3043095132316
17.5891042237177,27.5131912133934,11.2598251746454,16.8363055668895,14.4844065547904,20.1282598788054,16.5600978079699
23.0023054652,31.2158699194737,15.9896923103495,25.6844782055551,22.3526798417518,33.1063999252499,20.7422277655734
38.5986370624994,34.9616593006059,24.8663586474477,23.953775456631,22.3309006481935,40.8772214206352,29.5189807730592
52.3544894072922,35.6848057771924,35.3042680954231,27.6438265886633,27.7030676219885,44.2639337891286,42.4195274627897
57.1116174401745,35.8252681127992,35.2601741648158,31.2271682141715,28.2241221743965,48.6959254415435,48.8065601166896
45.472638498383,35.5092265608845,26.0245303860593,22.2167174816793,19.2798142226201,43.4491985125866,38.2301184412066
33.4980543004392,33.526427027538,23.9212340493274,21.9166484671297,19.0452339961875,40.7107566962529,28.0795803172482
24.8821258647433,30.5629889721227,21.0345669227232,19.1973469280883,16.6712910696969,28.252161336131,21.2060903055594
25.0075131996695,29.8653294436577,18.329156795723,12.5122670445267,9.70267086593839,24.011659557464,18.9029024631261
18.223284092506,30.020270293572,14.3464624442927,7.97922213254795,5.36931246741132,22.5913595595947,14.1784489464766
14.4871714248255,29.7981119539147,11.5348224173143,8.23630190129022,5.30691407760159,20.0079240248148,11.306384265427
15.9803627341996,28.4705112362196,8.70544320385312,11.6499730984938,8.95591800052769,17.7697709804745,13.1250635445365
16.3457892976841,28.1274963166537,9.55580495634283,15.8618331245646,13.565176146142,17.5143206799179,15.3870139521427
21.6592601889304,31.6738595148504,14.1577549842849,24.6283693815217,21.4355875427984,30.8799340488839,19.5638339170292
37.7313725420264,34.7262575238117,22.803020449005,22.9280922595897,21.4122023037412,37.9591126955001,28.3451630875923
51.1972689042795,35.9743511117922,33.0722281955655,26.6276500750126,26.7848440876983,41.6606655558323,41.2417662622594
56.1257216988861,35.9401106657571,32.9978685058198,30.2040363997947,27.3052174273457,45.0867583022856,47.6321973639455
44.4157718362516,35.5547766367928,23.9861895262046,21.2081723383283,18.3608098737053,41.0064484431539,37.0528270295549
32.4142293450381,33.5444935835471,21.9902041792252,20.9050764438081,18.1262051092345,39.3693919680415,26.9048127480587
23.6589826746939,30.5701547218942,19.128649329601,18.1991245944929,15.7522507369786,25.9264578672902,20.0291477697881
23.7927288701278,29.8681715996149,16.4942958068038,11.51001707114,8.78363056079641,21.5632265296574,17.7278342517864
17.0632427960505,30.0213975797239,12.5981712858315,6.96500381501707,4.45023584809783,19.911618171269,13.0017654995948
13.3043719901504,29.7985590701487,9.8458508197459,7.21994873411555,4.38783850735262,17.0416561549561,10.131092781243
14.8145533693893,28.4706885762201,7.12173589656741,10.6495941305324,8.03687028454942,15.1043787750639,11.9485725086958
15.1646630437287,28.1275666551326,7.95643935696289,14.8555141064974,12.646132302082,14.9303619747419,14.2115566544305
20.4517839222419,31.6738874132467,12.4303132841332,23.6468100192174,20.5165941780784,28.1009758330994,18.3874857746509
36.4798307721627,34.7262685891706,20.9113428441327,21.9373049044631,20.4931710213611,35.5282300998594,27.1695826486961
50.0901963034337,35.9743555006526,30.9745785229833,25.6339793563262,25.8658240152686,39.0713365891517,40.0655242393668
54.9060801760233,35.9401124065137,30.9485938467524,29.212475158558,26.3861812719383,43.0036572046816,46.4565254744725
43.174330365492,35.5547773272302,22.1004657918365,20.2121870363577,17.4417713667645,38.3363372352767,35.8766638160687
31.1827432073183,33.5444938573957,20.1327410707664,19.9100091699089,17.2071660229671,36.144998464981,25.7290729429939
22.521888182269,30.570154830511,17.355265155251,17.2000084375147,14.8332113804843,23.1974418819556,18.8530430839435
22.5619423924217,29.8681716426957,14.7619010370693,10.51212247116,7.86459120495314,18.8959753228107,16.5520440093439
15.7860432975047,30.021397596811,10.939486910868,5.97073914025684,3.53119563490125,17.3607750226787,11.8257042791833
12.0741458892807,29.798559076926,8.24909926141533,6.22633154582943,3.46879831892376,14.6350100915011,8.95526508158394
13.6283029704504,28.4706885789082,5.57329209535876,9.65113206438908,7.11783075374126,12.5463142682963,10.7725435677995
13.965758105482,28.1275666561987,6.4112039063015,13.8588536213558,11.7270928626873,12.3313153105717,13.0357011372458
19.272148111444,31.6738874136695,10.7869555283679,22.6426400807709,19.5975559304671,25.6000644647738,17.2114808060708
35.2207740863443,34.7262685893384,19.1160816671855,20.935933760169,19.5741318785392,32.8521464767291,25.9937064728824
48.8708775311838,35.9743555007191,29.0358462898706,24.633482718673,24.9467851371062,36.4749925584387,38.8895370737786
