"city","date","trend"
"Beijing",2011-02-01,61.9176455551601
"Beijing",2011-03-01,62.6524818919736
"Beijing",2011-04-01,64.4807803760181
"Beijing",2011-05-01,66.3090788600626
"Beijing",2011-06-01,68.2218237331032
"Beijing",2011-07-01,70.1345686061438
"Beijing",2011-08-01,71.2239506924945
"Beijing",2011-09-01,72.3133327788452
"Beijing",2011-10-01,72.6633807549371
"Beijing",2011-11-01,73.013428731029
"Beijing",2011-12-01,72.5925185809246
"Beijing",2012-01-01,72.1716084308202
"Beijing",2012-02-01,70.9205764456629
"Beijing",2012-03-01,69.6695444605056
"Beijing",2012-04-01,68.419389657198
"Beijing",2012-05-01,67.1692348538904
"Beijing",2012-06-01,67.4504230980573
"Beijing",2012-07-01,67.7316113422242
"Beijing",2012-08-01,69.0188306411794
"Beijing",2012-09-01,70.3060499401346
"Beijing",2012-10-01,71.3309079030927
"Beijing",2012-11-01,72.3557658660508
"Beijing",2012-12-01,73.0317781318355
"Beijing",2013-01-01,73.7077903976202
"Beijing",2013-02-01,74.2850763651543
"Beijing",2013-03-01,74.8623623326885
"Beijing",2013-04-01,74.5801037599683
"Beijing",2013-05-01,74.2978451872481
"Beijing",2013-06-01,73.177220631175
"Beijing",2013-07-01,72.0565960751019
"Beijing",2013-08-01,71.8351340861607
"Beijing",2013-09-01,71.6136720972196
"Beijing",2013-10-01,71.9917515390178
"Beijing",2013-11-01,72.369830980816
"Beijing",2013-12-01,72.2631796359413
"Beijing",2014-01-01,72.1565282910666
"Beijing",2014-02-01,72.3120927366882
"Beijing",2014-03-01,72.4676571823099
"Beijing",2014-04-01,72.9275132069869
"Beijing",2014-05-01,73.3873692316639
"Beijing",2014-06-01,72.881811475978
"Beijing",2014-07-01,72.3762537202923
"Beijing",2014-08-01,70.7450506862493
"Beijing",2014-09-01,69.1138476522063
"Beijing",2014-10-01,67.9150168507375
"Beijing",2014-11-01,66.7161860492687
"Beijing",2014-12-01,65.74011280652
"Beijing",2015-01-01,64.7640395637713
"Beijing",2015-02-01,63.2013240104652
"Beijing",2015-03-01,61.6386084571591
"Beijing",2015-04-01,60.7900754009938
"Beijing",2015-05-01,59.9415423448285
"Beijing",2015-06-01,60.3478431181864
"Beijing",2015-07-01,60.7541438915443
"Beijing",2015-08-01,60.7170296679688
"Beijing",2015-09-01,60.6799154443933
"Beijing",2015-10-01,60.1392739382377
"Beijing",2015-11-01,59.5986324320821
"Beijing",2015-12-01,59.244605880555
"Beijing",2016-01-01,58.8905793290279
"Beijing",2016-02-01,58.485235477005
"Beijing",2016-03-01,58.0798916249822
"Beijing",2016-04-01,57.8012966377951
"Beijing",2016-05-01,57.522701650608
"Beijing",2016-06-01,58.1357401004492
"Beijing",2016-07-01,58.7487785502903
"Beijing",2016-08-01,59.997647026381
"Beijing",2016-09-01,61.2465155024717
"Beijing",2016-10-01,61.6706648590145
"Beijing",2016-11-01,62.0948142155573
"Beijing",2016-12-01,61.8104184131952
"Beijing",2017-01-01,61.526022610833
"Beijing",2017-02-01,60.6871232778828
"Beijing",2017-03-01,59.8482239449325
"Beijing",2017-04-01,57.8461988558814
"Beijing",2017-05-01,55.8441737668303
"Beijing",2017-06-01,52.8483043847853
"Beijing",2017-07-01,49.8524350027403
"Beijing",2017-08-01,48.0323459763586
"Beijing",2017-09-01,46.212256949977
"Beijing",2017-10-01,45.8923935026599
"Beijing",2017-11-01,45.5725300553428
"Beijing",2017-12-01,45.4397120649426
"Beijing",2018-01-01,45.3068940745424
"Beijing",2018-02-01,45.0145755429625
"Beijing",2018-03-01,44.7222570113827
"Beijing",2018-04-01,44.7725940011692
"Beijing",2018-05-01,44.8229309909556
"Beijing",2018-06-01,44.9894952934925
"Beijing",2018-07-01,45.1560595960294
"Beijing",2018-08-01,44.5748618306882
"Beijing",2018-09-01,43.9936640653471
"Beijing",2018-10-01,42.9549609724496
"Beijing",2018-11-01,41.9162578795521
"Beijing",2018-12-01,41.3033450566455
"Beijing",2019-01-01,40.690432233739
"Beijing",2019-02-01,40.3434182995041
"Beijing",2019-03-01,39.9964043652693
"Beijing",2019-04-01,39.7553331499192
"Beijing",2019-05-01,39.514261934569
"Beijing",2019-06-01,39.3651389848363
"Beijing",2019-07-01,39.2160160351036
"Beijing",2019-08-01,38.9620256511439
"Beijing",2019-09-01,38.7080352671841
"Beijing",2019-10-01,38.3046910793218
"Beijing",2019-11-01,37.9013468914595
"Beijing",2019-12-01,37.6535642309305
"Beijing",2020-01-01,37.4057815704015
"Beijing",2020-02-01,37.3297324573201
"Beijing",2020-03-01,37.2536833442387
"Beijing",2020-04-01,36.8935595752732
"Beijing",2020-05-01,36.5334358063077
"Beijing",2020-06-01,35.7955140851157
"Beijing",2020-07-01,35.0575923639237
"Beijing",2020-08-01,34.9040043451932
"Beijing",2020-09-01,34.7504163264627
"Beijing",2020-10-01,35.1532124973532
